Primary_Text,Original_Translation,Text_ID,Record_Number,Speaker_ID,Comments,ID,Translated_Text,Comment,Tokenized,Analyzed_Word,Gloss,Lexeme_IDs,Gramm,Morpheme_IDs,Part_Of_Speech,Wordform_ID
ipakuri yakërë,con su flecha,histanfo,11,AnFo,,histanfo-11,with his arrow.,"""pause"" after the prefix",ipakuri	yakërë,i-paku-ri	y-akërë,3-arrow_tip-PERT	LK-with,paku-arrow-tip	akere-with,"n,pert,3,poss	postp,lk","i3,paku-arrow-tip,rupert	akere-with,ylk",n	postp,ipakuri-3-arrow-tip-pert	yakere-lk-with
"irëjpë sakara nepï wejsaj ta, irëjpë michi","traía guabina, después (decía) aquí está",histanfo,12,AnFo,,histanfo-12,"He brought guabina, then (he said) ""here it is"".",,irëjpë	sakara	nepï	wejsaj	ta	irëjpë	michi,irëjpë	sakara	nepï-∅	wej-saj	ta	irëjpë	michi,then	hoplias_malabaricus	bring-IPFV	COP-PFV	like	then	MED.ANIM,irejpe-then	sakara-hoplias-malabaricus	nepi-bring	chi-cop	ta-like	irejpe-then	michi-med-anim,"adv	n	vt,ipfv	vi,cop,pfv	part	adv	dem","irejpe-then	sakara-hoplias-malabaricus	nepi-bring,riipfv	chi-cop,sapepfv	ta-like	irejpe-then	michi-med-anim",adv	n	vt	vi	part	adv	dem,irejpe-then	sakara-hoplias-malabaricus	nepi-bring-ipfv	wejsaj-cop-pfv	ta-like	irejpe-then	michi-med-anim
yakono ijmojkakë mukuton yoti ta wejsaj ta,"después dice, hermana cocina para que coman los niños",histanfo,13,AnFo,,histanfo-13,"Then she said, ""sister cook for the children to eat""",Is this the old zero 1 on yakono? Or a lexicalized linker in nouns?,yakono	ijmojkakë	mukuton	yoti	ta	wejsaj	ta,y-akono-∅	ijmojka-kë	muku-ton	y-oti-∅	ta-∅	wej-saj	ta,LK-younger_sister_of_woman-PERT	cook-IMP	child-PL	LK-meat-PERT	say-IPFV	COP-PFV	like,akono-younger-sister-of-woman	ijmojka-cook	muku-child	oti-meat	taro-say	chi-cop	ta-like,"n,pert,lk	vt,imp	n,pl	n,pert,lk	vt,ipfv	vi,cop,pfv	part","akono-younger-sister-of-woman,rupert,ylk	ijmojka-cook,keimp	muku-child,tomopl	oti-meat,rupert,ylk	riipfv,taro-say	chi-cop,sapepfv	ta-like",n	vt	n	n	vt	vi	part,yakono-lk-younger-sister-of-woman-pert	ijmojkake-cook-imp	mukuton-child-pl	yoti-lk-meat-pert	ta-say-ipfv	wejsaj-cop-pfv	ta-like
"makampra ya, makë pana",mi tía dijo pa mi mamá,histanfo,14,AnFo,,histanfo-14,...my aunt to my mom.,,makampra	ya	makë	pana,makampra	ya	makë	pana,aunt	ERG	mom	DAT,makampra-aunt	ya-erg	make-mom	pana-dat,n	postp	n	postp,makampra-aunt	ya-erg	make-mom	pana-dat,n	postp	n	postp,makampra-aunt	ya-erg	make-mom	pana-dat
irë makë ya ijmojka wejsapë,después mi mamá estaba cocinando,histanfo,15,AnFo,,histanfo-15,Then my mom was cooking.,,irë	makë	ya	ijmojka	wejsapë,i-∅=rë	makë	ya	ijmojka-∅	wej-sapë,put-IPFV=EMP	mom	ERG	cook-IPFV	COP-PFV,i-put=re-emp	make-mom	ya-erg	ijmojka-cook	chi-cop,"vt,ipfv=part,emp	n	postp	vt,ipfv	vi,cop,pfv","i-put,riipfv=re-emp	make-mom	ya-erg	ijmojka-cook,riipfv	chi-cop,sapepfv",vt=part	n	postp	vt	vi,i-put-ipfv=re-emp	make-mom	ya-erg	ijmojka-cook-ipfv	wejsape-cop-pfv
"ana yoti, ana serematojpe","nuestra comida, para comer",histanfo,16,AnFo,,histanfo-16,"Our food, to eat.",,ana	yoti	ana	serematojpe,ana	y-oti-∅	ana	serema-tojpe,1+3PRO	LK-meat-PERT	1+3PRO	eat-PURP,ana-1-3pro	oti-meat	ana-1-3pro	serema&tojpepurp,"pn,13	n,pert,lk	pn,13	advl,purp","ana-1-3pro	oti-meat,rupert,ylk	ana-1-3pro	tojpepurp",pn	n	pn	advl,ana-1-3pro	yoti-lk-meat-pert	ana-1-3pro	serematojpe-eat-purp
"tawara ma ana këyetajpë, ana papa pan patajpë të",así nos criamos después de que se murió mi papá en su pueblo,histanfo,17,AnFo,CHECK translation: in other texts patajpë të is just used to mention someone's death not its old town,histanfo-17,"This is how we grew up, in my late father's village.",,tawara	ma	ana	këyetajpë	ana	papa	pan	patajpë	të,tawara	ma	ana	këyeta-jpë	ana	papa	pan	pata-jpë	të,too	RST	1+3PRO	grow-PST	1+3PRO	father	FMR	axe-PST	LOC,tawara-too	ma-rst	ana-1-3pro	keyata-grow	ana-1-3pro	papa-father	pano-fmr	pata-axe	te-loc,"adv	part	pn,13	vi,pst	pn,13	n	part	n,pst	postp","tawara-too	ma-rst	ana-1-3pro	jpepst,keyata-grow	ana-1-3pro	papa-father	pano-fmr	jpepst,pata-axe	te-loc",adv	part	pn	vi	pn	n	part	n	postp,tawara-too	ma-rst	ana-1-3pro	keyetajpe-grow-pst	ana-1-3pro	papa-father	pan-fmr	patajpe-axe-pst	te-loc
papa pano sëmasaj yawë,porque se murió mi papá,histanfo,18,AnFo,,histanfo-18,Because my dad had died.,,papa	pano	sëmasaj	yawë,papa	pano	sëma-saj	yawë,father	FMR	die-ABS.NMLZ	LOC,papa-father	pano-fmr	sëma&sapenmlz	yawe-loc,"n	part	n,nmlz	postp",papa-father	pano-fmr	sapenmlz	yawe-loc,n	part	n	postp,papa-father	pano-fmr	semasaj-die-abs-nmlz	yawe-loc
irë ana këyetase tawara ma,nosotros nos críamos así mismo,histanfo,19,AnFo,,histanfo-19,That's how we grew up.,,irë	ana	këyetase	tawara	ma,irë	ana	këyeta-se	tawara	ma,3ANA.INAN	1+3PRO	grow-PST	too	RST,ire-3ana-inan	ana-1-3pro	keyata-grow	tawara-too	ma-rst,"dem	pn,13	vi,pst	adv	part","ire-3ana-inan	ana-1-3pro	keyata-grow,sepst	tawara-too	ma-rst",dem	pn	vi	adv	part,ire-3ana-inan	ana-1-3pro	keyetase-grow-pst	tawara-too	ma-rst
"sukase ana këyetase pipi yakërë, ana këyetase intipijkë ana chawë",con mi hermanito,histanfo,20,AnFo,,histanfo-20,We grew up with my younger brother; we grew up when we were small.,,sukase	ana	këyetase	pipi	yakërë	ana	këyetase	intipijkë	ana	chawë,sukase	ana	këyeta-se	pipi	y-akërë	ana	këyeta-se	intipijkë	ana	chawë,all	1+3PRO	grow-PST	younger_brother_of_woman	LK-with	1+3PRO	grow-PST	small	1+3PRO	LOC,sukase-all	ana-1-3pro	keyata-grow	pipi-younger-brother-of-woman	akere-with	ana-1-3pro	keyata-grow	intipijke-small	ana-1-3pro	yawe-loc,"adv	pn,13	vi,pst	n	postp,lk	pn,13	vi,pst	adv	pn,13	postp","sukase-all	ana-1-3pro	keyata-grow,sepst	pipi-younger-brother-of-woman	akere-with,ylk	ana-1-3pro	keyata-grow,sepst	intipijke-small	ana-1-3pro	yawe-loc",adv	pn	vi	n	postp	pn	vi	adv	pn	postp,sukase-all	ana-1-3pro	keyetase-grow-pst	pipi-younger-brother-of-woman	yakere-lk-with	ana-1-3pro	keyetase-grow-pst	intipijke-small	ana-1-3pro	chawe-loc
ana këyetase makampra ya,nosotros nos criamos con mi tía,histanfo,21,AnFo,,histanfo-21,We grew up with my aunt.,,ana	këyetase	makampra	ya,ana	këyeta-se	makampra	ya,1+3PRO	grow-PST	aunt	OBL,ana-1-3pro	keyata-grow	makampra-aunt	ya-obl,"pn,13	vi,pst	n	postp","ana-1-3pro	keyata-grow,sepst	makampra-aunt	ya-obl",pn	vi	n	postp,ana-1-3pro	keyetase-grow-pst	makampra-aunt	ya-obl
"tëwï ya papa kampra pana tase ta, kaimotata","pa mi tío dijo, vaya a cazar",histanfo,22,AnFo,,histanfo-22,"She said to my uncle: ""go hunt!"".",,tëwï	ya	papa	kampra	pana	tase	ta	kaimotata,tëwï	ya	papa	kampra	pana	ta-se	ta	kaimota-ta,3PRO	ERG	father	big	DAT	say-PST	like	hunt-MOTIMP,tewi-3pro	ya-erg	papa-father	kampara-big	pana-dat	taro-say	ta-like	kaimota-hunt,"pn,3	postp	n	n	postp	vt,pst	part	vi,motimp","tewi-3pro	ya-erg	papa-father	kampara-big	pana-dat	sepst,taro-say	ta-like	kaimota-hunt,tamotimp",pn	postp	n	n	postp	vt	part	vi,tewi-3pro	ya-erg	papa-father	kampra-big	pana-dat	tase-say-pst	ta-like	kaimotata-hunt-motimp
yomiri mukutomo,tienen hambre los niños,histanfo,23,AnFo,,histanfo-23,"""The children are hungry.""",yëmiri!,yomiri	mukutomo,yomi-ri	muku-tomo,be_hungry-IPFV	child-PL,yemi-be-hungry	muku-child,"vi,ipfv	n,pl","riipfv,yemi-be-hungry	muku-child,tomopl",vi	n,yomiri-be-hungry-ipfv	mukutomo-child-pl
asamo mare tapëkë ijtëri weroro yarë ta yakuri këjmatojpe,porque estaban llorando iba llevando los perros para que cazaran picure,histanfo,24,AnFo,"It seems that yarë-Ø=ta is used in ""converb"" function but presumably it is only marked by -ri (and the main verb is also marked with -ri) @ 2020-04 ANALYSIS there is another example by GrMe which suggests a similar analysis as converb also followed by ta. Could it be that this is a variant of -tane ‘SUB’ instead of -ri=ta ? @ 2017-10 CHECK the translation: how does the first part articulate with the second part? Does tapëkë go with the first verb? Is it marë ‘todavía’, ‘así’ or is it really the inanimate relativizer?",histanfo-24,Because they were crying he went and took the dogs to hunt agouti.,More material after këjmatojpe; unclear interpretation. Juxtaposed clauses?,asamo	mare	tapëkë	ijtëri	weroro	yarë	ta	yakuri	këjmatojpe,asamo-∅	mare	ta-pëkë	ij-të-ri	weroro	yarë-∅	ta	yakuri	këjma-tojpe,cry-IPFV	REL.INAN	say-PROG.TR	3-go-IPFV	dog	bring-IPFV	like	agouti	hunt-PURP,samo-cry	mare-rel-inan	taro-say	te-go	weroro-dog	yare-bring	ta-like	yakuri-agouti	këjma&tojpepurp,"vi,ipfv	part	vt,prog	vi,3,ipfv	n	vt,ipfv	part	n	advl,purp","riipfv,samo-cry	mare-rel-inan	pekeprog,taro-say	i3,riipfv,te-go	weroro-dog	riipfv,yare-bring	ta-like	yakuri-agouti	tojpepurp",vi	part	vt	vi	n	vt	part	n	advl,asamo-cry-ipfv	mare-rel-inan	tapeke-say-prog-tr	ijteri-3-go-ipfv	weroro-dog	yare-bring-ipfv	ta-like	yakuri-agouti	kejmatojpe-hunt-purp
irë yakuri,,histanfo,25,AnFo,,histanfo-25,Agouti.,,irë	yakuri,irë	yakuri,3ANA.INAN	agouti,ire-3ana-inan	yakuri-agouti,dem	n,ire-3ana-inan	yakuri-agouti,dem	n,ire-3ana-inan	yakuri-agouti
taturu makampra ya ana yoti makë,mi tía lo da comida de nosotros,histanfo,26,AnFo,,histanfo-26,My aunt gave her our food.,Added makë. Argument structure?,taturu	makampra	ya	ana	yoti	makë,ta-tu-ru	makampra	ya	ana	y-oti-∅	makë,3P-give-IPFV	aunt	ERG	1+3PRO	LK-meat-PERT	mom,tu-give	makampra-aunt	ya-erg	ana-1-3pro	oti-meat	make-mom,"vt,3,ipfv	n	postp	pn,13	n,pert,lk	n","riipfv,ta-3,tu-give	makampra-aunt	ya-erg	ana-1-3pro	oti-meat,rupert,ylk	make-mom",vt	n	postp	pn	n	n,taturu-3p-give-ipfv	makampra-aunt	ya-erg	ana-1-3pro	yoti-lk-meat-pert	make-mom
ijmokatojpe,para cocinar,histanfo,27,AnFo,,histanfo-27,For cooking.,,ijmokatojpe,ijmoka-tojpe,cook-PURP,ijmojka&tojpepurp,"advl,purp",tojpepurp,advl,ijmokatojpe-cook-purp
irëjpë makë ya ijmojka wejsapë,después mi mamá estaba cocinando,histanfo,28,AnFo,,histanfo-28,Then my mom was cooking.,,irëjpë	makë	ya	ijmojka	wejsapë,irëjpë	makë	ya	ijmojka-∅	wej-sapë,then	mom	ERG	cook-IPFV	COP-PFV,irejpe-then	make-mom	ya-erg	ijmojka-cook	chi-cop,"adv	n	postp	vt,ipfv	vi,cop,pfv","irejpe-then	make-mom	ya-erg	ijmojka-cook,riipfv	chi-cop,sapepfv",adv	n	postp	vt	vi,irejpe-then	make-mom	ya-erg	ijmojka-cook-ipfv	wejsape-cop-pfv
"ana yoti, yakuri","nuestra comida, el picure",histanfo,29,AnFo,,histanfo-29,"Our food, agouti.",Potentially the object of the preceding clause.,ana	yoti	yakuri,ana	y-oti-∅	yakuri,1+3PRO	LK-meat-PERT	agouti,ana-1-3pro	oti-meat	yakuri-agouti,"pn,13	n,pert,lk	n","ana-1-3pro	oti-meat,rupert,ylk	yakuri-agouti",pn	n	n,ana-1-3pro	yoti-lk-meat-pert	yakuri-agouti
makampra ya tujpë,lo que mi tía le dió,histanfo,30,AnFo,,histanfo-30,What my aunt gave her (?).,Is this supposed to be interpreted as a nominalization?,makampra	ya	tujpë,makampra	ya	tu-jpë,aunt	ERG	give-PST,makampra-aunt	ya-erg	tu-give,"n	postp	vt,pst","makampra-aunt	ya-erg	jpepst,tu-give",n	postp	vt,makampra-aunt	ya-erg	tujpe-give-pst
"sukase tawara ma ana këyatajpë, onono pëkë","toditos nos críamos así, de otra manera",histanfo,31,AnFo,,histanfo-31,"We were all raised this way, in a different way.",,sukase	tawara	ma	ana	këyatajpë	onono	pëkë,sukase	tawara	ma	ana	këyata-jpë	onono	pëkë,all	too	RST	1+3PRO	grow-PST	another	about,sukase-all	tawara-too	ma-rst	ana-1-3pro	keyata-grow	onono-another	peke-about,"adv	adv	part	pn,13	vi,pst	n	postp","sukase-all	tawara-too	ma-rst	ana-1-3pro	jpepst,keyata-grow	onono-another	peke-about",adv	adv	part	pn	vi	n	postp,sukase-all	tawara-too	ma-rst	ana-1-3pro	keyatajpe-grow-pst	onono-another	peke-about
kïmïi ma yeme ana ya,nosotros estábamos comiendo puro ají,histanfo,32,AnFo,,histanfo-32,We were just eating chili.,,kïmïi	ma	yeme	ana	ya,kïmïi	ma	yeme-∅	ana	ya,chili	RST	eat(fruits_eggs_soup)-IPFV	1+3PRO	ERG,kimiy-chili	ma-rst	yeme-eat-fruits-eggs-soup	ana-1-3pro	ya-erg,"n	part	vt,ipfv	pn,13	postp","kimiy-chili	ma-rst	riipfv,yeme-eat-fruits-eggs-soup	ana-1-3pro	ya-erg",n	part	vt	pn	postp,kimii-chili	ma-rst	yeme-eat-fruits-eggs-soup-ipfv	ana-1-3pro	ya-erg
"sere yokïrï, irëjpë sukutaka yeni ana ya","comiendo casabe, después tomabamos yucuta",histanfo,33,AnFo,,histanfo-33,"We ate cassava, then we would drink yucuta.",,sere	yokïrï	irëjpë	sukutaka	yeni	ana	ya,sere	yokï-rï	irëjpë	sukutaka	yeni-∅	ana	ya,bitter_manioc	eat(starch)-IPFV	then	yucuta	drink-IPFV	1+3PRO	ERG,sere-bitter-manioc	yoki-eat-starch	irejpe-then	sukutaka-yucuta	yeni-drink	ana-1-3pro	ya-erg,"n	vt,ipfv	adv	n	vt,ipfv	pn,13	postp","sere-bitter-manioc	riipfv,yoki-eat-starch	irejpe-then	sukutaka-yucuta	riipfv,yeni-drink	ana-1-3pro	ya-erg",n	vt	adv	n	vt	pn	postp,sere-bitter-manioc	yokiri-eat-starch-ipfv	irejpe-then	sukutaka-yucuta	yeni-drink-ipfv	ana-1-3pro	ya-erg
"tëwï kïmïi yemetïkene, ana yeni wejsapë sukutaka ma","después de que comemos ají, tomamos yucuta",histanfo,34,AnFo,,histanfo-34,"After eating chili, we would drink yucuta.",,tëwï	kïmïi	yemetïkene	ana	yeni	wejsapë	sukutaka	ma,tëwï	kïmïi	yeme-tïkene	ana	yeni-∅	wej-sapë	sukutaka	ma,3PRO	chili	eat(fruits_eggs_soup)-POST	1+3PRO	drink-IPFV	COP-PFV	yucuta	RST,tewi-3pro	kimiy-chili	yeme-eat-fruits-eggs-soup	ana-1-3pro	yeni-drink	chi-cop	sukutaka-yucuta	ma-rst,"pn,3	n	vt,post	pn,13	vt,ipfv	vi,cop,pfv	n	part","tewi-3pro	kimiy-chili	tikenepost,yeme-eat-fruits-eggs-soup	ana-1-3pro	riipfv,yeni-drink	chi-cop,sapepfv	sukutaka-yucuta	ma-rst",pn	n	vt	pn	vt	vi	n	part,tewi-3pro	kimii-chili	yemetikene-eat-fruits-eggs-soup-post	ana-1-3pro	yeni-drink-ipfv	wejsape-cop-pfv	sukutaka-yucuta	ma-rst
nwarë ana këyatajpë ana,así nos criamos nosotros,histanfo,35,AnFo,,histanfo-35,That's how we grew up.,,nwarë	ana	këyatajpë	ana,nwa=rë	ana	këyata-jpë	ana,thus=EMP	1+3PRO	grow-PST	1+3PRO,nwa-thus=re-emp	ana-1-3pro	keyata-grow	ana-1-3pro,"part=part,emp	pn,13	vi,pst	pn,13","nwa-thus=re-emp	ana-1-3pro	jpepst,keyata-grow	ana-1-3pro",part=part	pn	vi	pn,nwa-thus=re-emp	ana-1-3pro	keyatajpe-grow-pst	ana-1-3pro
irëjpë rë neke n ti,después sí,histanfo,36,AnFo,,histanfo-36,"Then, well...",,irëjpë	rë	neke	n	ti,irëjpë	rë	neke	n	ti,then	EMP	CNTR	INTS	HSY,irejpe-then	re-emp	neke-cntr	ne-ints	ti-hsy,adv	part	part	part	part,irejpe-then	re-emp	neke-cntr	ne-ints	ti-hsy,adv	part	part	part	part,irejpe-then	re-emp	neke-cntr	n-ints	ti-hsy
makë sepanse,mi mamá se casó,histanfo,37,AnFo,,histanfo-37,My mom got married.,,makë	sepanse,makë	sepan-se,mom	get_married-PST,make-mom	sepami-get-married,"n	vi,pst","make-mom	sepami-get-married,sepst",n	vi,make-mom	sepanse-get-married-pst
Rafa Perez pan yakërë,con el finado Rafel Pérez,histanfo,38,AnFo,,histanfo-38,With the late Rafel Perez.,,rafa	perez	pan	yakërë,rafa	perez	pan	y-akërë,R.	P.	FMR	LK-with,rafa-r	perez-p	pano-fmr	akere-with,"n	n	part	postp,lk","rafa-r	perez-p	pano-fmr	akere-with,ylk",n	n	part	postp,rafa-r	perez-p	pan-fmr	yakere-lk-with
