ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Record_Number,Speaker_ID
convcosnoind-19,yab,penajrë takï wejsapë katara ma,penajrë	takï	wejsapë	katara	ma,***	CNFRM	?	***	RST,before it was only the yare (auto),,,convcosnoind-19,?	part	?	?	part,antes solo era el yare,convcosnoind,19,pape
convcosnoind-20,yab,"ë'ë, katara ke",ë'ë	katara	ke,yes	***	INS,"yes, with yare (auto)",,,convcosnoind-20,intj	?	postp,"sí, con yare",convcosnoind,20,anfo
convcosnoind-21,yab,ejnë serema wejsapë,ejnë	serema	wej-sapë,1+2PRO	?	COP-PFV,we ate (auto),,,convcosnoind-21,pn	?	vi,nosotros comíamos,convcosnoind,21,anfo
convcosnoind-22,yab,tëwï tawarama kajwe yenija ma,tëwï	tawara=ma	kajwe	yeni-ja	ma,3PRO	too=RST	coffee	drink-NEG	RST,"we didn't drink that either, coffee (auto)",,,convcosnoind-22,pn	adv	n	vt	part,"ese tampoco tomabamos, café",convcosnoind,22,pape
convcosnoind-23,yab,"ë'ë, kajwe warai yënija",ë'ë	kajwe	warai	yëni-ja,yes	coffee	like	drink-NEG,"yes, we did not drink like coffee (auto)",,,convcosnoind-23,intj	n	postp	vt,"sí, no tomabamos como café",convcosnoind,23,anfo
convcosnoind-24,yab,chiri ma takï enirëpëke ma,chiri	ma	takï	enirëpëke	ma,?	RST	CNFRM	***	RST,has been the case for some time (auto),,,convcosnoind-24,?	part	part	?	part,es así desde hace poco,convcosnoind,24,pape
convcosnoind-25,yab,enirëpëke ma takï mërë esene marë,enirëpëke	ma	takï	mërë	esene-∅	marë,***	RST	CNFRM	?	see_self-IPFV	?,so far is that it is being seen (auto),,,convcosnoind-25,?	part	part	?	vi	?,hasta ahora no más es que se está viendo,convcosnoind,25,anfo
convcosnoind-26,yab,penajrë takï seneja ta warai,penajrë	takï	sene-ja	ta-∅	warai,***	CNFRM	see_self-NEG	say-ACNNMLZ	like,antes no se veía (auto),,,convcosnoind-26,?	part	vi	n	postp,antes no se veía,convcosnoind,26,anfo
convcosnoind-27,yab,"warë takï sukase enirë, arina marë tëpare",wa=rë	takï	sukase	enirë	arina	marë	tëpare,thus=EMP	CNFRM	all	?	trembler	?	***,"now there is everything, including flour (auto)",,,convcosnoind-27,part	part	adv	?	n	?	?,"ahora hay todo, lo que es harina también",convcosnoind,27,pape
convcosnoind-28,yab,eni ejpagueti warai,eni	ejpagueti	warai,PROX.INAN	***	like,como ese espaghetti (auto),,,convcosnoind-28,dem	?	postp,como ese espaghetti,convcosnoind,28,pape
convcosnoind-29,yab,aro warai ta enirëpëke ma,aro	warai	ta	enirëpëke	ma,rice	like	?	***	RST,rice since recently (auto),,,convcosnoind-29,n	postp	?	?	part,el arroz desde hace poco,convcosnoind,29,pape
convcosnoind-30,yab,"mm, enirëpëkano ma, sukase yënësemï toto yoti",mm	enirëpëkano	ma	sukase	yënë-se-mï	toto	y-oti-∅,***	***	RST	all	eat(meat)-PTCP-NMLZ	?	LK-meat-PERT,"from now on, there is no more everything that Creoles eat. (auto)",,,convcosnoind-30,?	?	part	adv	n	?	n,desde ahora no más hay todo lo que comen los criollos,convcosnoind,30,anfo
convcosnoind-31,yab,toto yoti tajtane,toto	y-oti-∅	taj-tane,non_Indian	LK-meat-PERT	say-CNCS,is saying creole food (auto),,,convcosnoind-31,n	n	adv,está diciendo comida de criollo,convcosnoind,31,pape
convcosnoind-32,yab,penajrë takï pïrarë,penajrë	takï	pïrarë,***	CNFRM	NEG.EXIST,before there was no (auto),,,convcosnoind-32,?	part	part,antes no había,convcosnoind,32,pape
convcosnoind-33,yab,pïrarë wejsapë ta warai,pïrarë	wejsapë	ta-∅	warai,NEG.EXIST	?	say-ACNNMLZ	like,there was nothing like it (auto),,,convcosnoind-33,part	?	n	postp,no había como eso,convcosnoind,33,anfo
convcosnoind-34,yab,sere ma,sere	ma,bitter_manioc	RST,no more cassava (auto),,,convcosnoind-34,n	part,casabe no más,convcosnoind,34,anfo
convcosnoind-35,yab,chiri ma,chiri	ma,?	RST,that's all (auto),,,convcosnoind-35,?	part,eso nada más,convcosnoind,35,pape
convcosnoind-36,yab,ejnë serema wejsapë sere ke ma,ejnë	serema	wej-sapë	sere	ke	ma,1+2PRO	?	COP-PFV	bitter_manioc	INS	RST,we ate only with cassava (auto),,,convcosnoind-36,pn	?	vi	n	postp	part,comiamos sólo con casabe,convcosnoind,36,anfo
convcosnoind-37,yab,ejnë okïrï tanapï,ejnë	okï-rï	tanapï,1+2PRO	chicha-PERT	***,our drink is sweet yaraki (auto),,,convcosnoind-37,pn	n	?,nuestra bebida es el yaraki dulce,convcosnoind,37,anfo
convcosnoind-38,yab,tëwï ma,tëwï	ma,3PRO	RST,that's all (auto),,,convcosnoind-38,pn	part,eso nada más,convcosnoind,38,anfo
convcosnoind-39,yab,tajweremï tanijpë,tajweremï	tanijpë,***	***,as it is sweet (auto),,,convcosnoind-39,?	?,como es dulce,convcosnoind,39,anfo
convcosnoind-40,yab,sukutaka ma,sukutaka	ma,yucuta	RST,only la yucuta (auto),,,convcosnoind-40,n	part,solamente la yucuta,convcosnoind,40,anfo
convcosnoind-42,yab,tëwï ma takï yapëjtëni,tëwï	ma	takï	yapëjtëni,3PRO	RST	CNFRM	***,that alone is the one that sustains (auto),,,convcosnoind-42,pn	part	part	?,ese nada más es el que sostiene,convcosnoind,42,anfo
convcosnoind-43,yab,nwarë ta ejnë kamicha warai pïrarë penajrë,nwa=rë	ta	ejnë	kamicha	warai	pïrarë	penajrë,thus=EMP	?	1+2PRO	***	like	NEG.EXIST	***,so our clothes did not exist before (auto),,,convcosnoind-43,part	?	pn	?	postp	part	?,así nuestra ropa no existía antes,convcosnoind,43,pape
convcosnoind-44,yab,"aaa, ejnë neke ne kamicha kërëjpë ma",aaa	ejnë	neke	ne	kamicha	kërëjpë	ma,ah	1+2PRO	CNTR	INTS	***	?	RST,"ah, our shirts are old (auto)",,,convcosnoind-44,intj	pn	part	part	?	?	part,"ah, nuestras camisas son viejas",convcosnoind,44,pape
convcosnoind-45,yab,ë'ë kamicha kërëjpë ma wejsapë,ë'ë	kamicha	kërëjpë	ma	wejsapë,yes	***	?	RST	?,if the clothes were used (auto),,,convcosnoind-45,intj	?	?	part	?,sí la ropa estaba usada,convcosnoind,45,anfo
convcosnoind-46,yab,intipijkë tawara taji,intipijkë	tawara	taji,small	too	FOC,so a little bit (auto),,,convcosnoind-46,adv	adv	part,así un poquito,convcosnoind,46,pape
convcosnoind-48,yab,eni takï tajtojpe ne kamicha mëtë,eni	takï	tajtojpe	ne	kamicha	mëtë,PROX.INAN	CNFRM	?	INTS	***	?,now there are clothes (auto),,,convcosnoind-48,dem	part	?	part	?	?,ahora ahí está ropa,convcosnoind,48,anfo
convcosnoind-49,yab,"mëtë wejtane, intipijkë ma wejsapë, kamicha waraijne",mëtë	wejtane	intipijkë	ma	wejsapë	kamicha	waraijne,?	?	small	RST	?	***	***,"although it existed, there was little (auto)",,,convcosnoind-49,?	?	adv	part	?	?	?,"aunque existía, había poquito",convcosnoind,49,anfo
convcosnoind-50,yab,yawë yajtëpe penajrë tainija,yawë	yajtëpe	penajrë	ta-ini-ja,LOC	***	***	3P-see-NEG,"at the beginning, I didn't see it before (auto)",,,convcosnoind-50,postp	?	?	vt,"al principio, antes no lo veía",convcosnoind,50,anfo
convcosnoind-51,yab,"tëwï ta... kwa chipëkë yajtëpe, sukase kwaraijyawë ne",tëwï	ta	kwa	chipëkë	yajtëpe	sukase	kwaraijyawë	ne,3PRO	?	how	***	***	all	***	INTS,"that, why first, when all... (auto)",,,convcosnoind-51,pn	?	part	?	?	adv	?	part,"eso, por qué primero, cuando todo...",convcosnoind,51,pape
convcosnoind-52,yab,toto yoti tajtoj mare,toto	y-oti-∅	taj-toj	mare,non_Indian	LK-meat-PERT	say-CIRC.NMLZ	?,what they call the food of the criollos (auto),,,convcosnoind-52,n	n	n	?,lo que llaman la comida de los criollos,convcosnoind,52,pape
convcosnoind-53,yab,"inijpë tawara, inijpë",inijpë	tawara	inijpë,?	too	?,"they saw it too, they saw it (auto)",,,convcosnoind-53,?	adv	?,"lo vieron también, lo vieron",convcosnoind,53,pape
convcosnoind-54,yab,"aaa, ë'ë",aaa	ë'ë,ah	yes,,,,convcosnoind-54,intj	intj,,convcosnoind,54,anfo
convcosnoind-55,yab,"aaa, ejnë inijpë wara",aaa	ejnë	ini-jpë	wara,ah	1+2PRO	see-PST.ACNNMLZ	?,"ah, as we saw it (auto)",,,convcosnoind-55,intj	pn	n	?,"ah, como lo vimos",convcosnoind,55,pape
convcosnoind-56,yab,¿ tëwï narë ma ka?,tëwï	narë	ma	ka,3PRO	***	RST	?,That's it? (auto),,,convcosnoind-56,pn	?	part	?,¿eso no más?,convcosnoind,56,anfo
convcosnoind-57,yab,"mm, enirëpëkano ma yapori",mm	enirëpëkano	ma	yapori,***	***	RST	***,"yes, now he is just testing it (auto)",,,convcosnoind-57,?	?	part	?,"sí, ahora no más lo está probando",convcosnoind,57,pape
convcosnoind-58,yab,kampra ke ejnë chawë tanijpë,kampra	ke	ejnë	chawë	tanijpë,big	INS	1+2PRO	LOC	***,when we were grown up (auto),,,convcosnoind-58,n	postp	pn	postp	?,cuando estabamos grandes,convcosnoind,58,pape
convcosnoind-59,yab,ë'ë kampra ke ejnë chiyawë rë,ë'ë	kampra	ke	ejnë	chiyawë	rë,yes	big	INS	1+2PRO	when	EMP,"yes, when we were older (auto)",,,convcosnoind-59,intj	n	postp	pn	part	part,"sí, cuando estabamos grandes",convcosnoind,59,anfo
convcosnoind-60,yab,intipijkë chawë takï tëwï yënija wejsapë,intipijkë	chawë	takï	tëwï	yëni-ja	wejsapë,small	LOC	CNFRM	3PRO	drink-NEG	?,when we were little we didn't drink that (auto),,,convcosnoind-60,adv	postp	part	pn	vt	?,cuando eramos pequeños no tomabamos eso,convcosnoind,60,pape
convcosnoind-61,yab,yënëja tëwarai,yënë-ja	të-warai,eat(meat)-NEG	3-like,did not eat of it (auto),,,convcosnoind-61,vt	postp,no se comía de eso,convcosnoind,61,anfo
convcosnoind-62,yab,aro warai ejnë yënëja wejsapë,aro	warai	ejnë	yënë-ja	wejsapë,rice	like	1+2PRO	eat(meat)-NEG	?,aro warai ejnë yëkïja wejsapë (auto),,,convcosnoind-62,n	postp	pn	vt	?,aro warai ejnë yëkïja wejsapë,convcosnoind,62,anfo
convcosnoind-63,yab,sere ke ma ejnë seremari,sere	ke	ma	ejnë	seremari,bitter_manioc	INS	RST	1+2PRO	?,with cassava only we ate (auto),,,convcosnoind-63,n	postp	part	pn	?,con casabe solamente nosotros comíamos,convcosnoind,63,anfo
convcosnoind-64,yab,tëwï takï ejnë yoti,tëwï	takï	ejnë	y-oti-∅,3PRO	CNFRM	1+2PRO	LK-meat-PERT,that's our food (auto),,,convcosnoind-64,pn	part	pn	n,esa es nuestra comida,convcosnoind,64,pape
convcosnoind-65,yab,ejnë seremajpë sereke ma ejnë këyatajpë,ejnë	seremajpë	sere-ke	ma	ejnë	këyatajpë,1+2PRO	?	bitter_manioc-PROP	RST	1+2PRO	?,we grew up eating with cassava (auto),,,convcosnoind-65,pn	?	adv	part	pn	?,crecimos comiendo con casabe,convcosnoind,65,anfo
convcosnoind-66,yab,ejnë yuru tane,ejnë	y-u-ru	tane,1+2PRO	LK-starchy_food-PERT	***,has been our food (auto),,,convcosnoind-66,pn	n	?,viene siendo nuestra comida,convcosnoind,66,pape
convcosnoind-67,yab,"ejnë yuru takï mërë, sere, mañuku warai, tëwï ma",ejnë	y-u-ru	takï	mërë	sere	mañuku	warai	tëwï	ma,1+2PRO	LK-starchy_food-PERT	CNFRM	?	?	***	like	3PRO	RST,"that's our food, like cassava, mañoco, that's all. (auto)",,,convcosnoind-67,pn	n	part	?	?	?	postp	pn	part,"ese es nuestra comida, como casabe, mañoco, eso no más",convcosnoind,67,pape
convcosnoind-68,yab,tanapï,tanapï,***,,,,convcosnoind-68,?,,convcosnoind,68,anfo
convcosnoind-69,yab,"aaa, tanapï",aaa	tanapï,ah	***,"ah, the drink (auto)",,,convcosnoind-69,intj	?,"ah, la bebida",convcosnoind,69,pape
convcosnoind-70,yab,onono pëkë tanapï ijmojka ta makë pano ya,onono	pëkë	tanapï	ijmojka	ta	makë	pano	ya,another	about	***	?	?	?	FMR	?,there are times when the late my mom cooked sweet yaraki (auto),,,convcosnoind-70,n	postp	?	?	?	?	part	?,hay veces que la finada mi mamá cocinaba yaraki dulce,convcosnoind,70,anfo
convcosnoind-71,yab,tajweremï,tajweremï,***,sweet (auto),,,convcosnoind-71,?,dulce,convcosnoind,71,anfo
convcosnoind-72,yab,tëwï ma yenipëkë ejnë këyatajpë,tëwï	ma	yeni-pëkë	ejnë	këyatajpë,3PRO	RST	drink-PROG.TR	1+2PRO	?,we grew up taking that only (auto),,,convcosnoind-72,pn	part	vt	pn	?,crecimos tomando eso solamente,convcosnoind,72,anfo
convcosnoind-73,yab,kïmïi ma,kïmïi	ma,chili	RST,with chili (auto),,,convcosnoind-73,n	part,con ají,convcosnoind,73,anfo
convcosnoind-74,yab,kïmïi,kïmïi,chili,,,,convcosnoind-74,n,,convcosnoind,74,pape
convcosnoind-75,yab,kïrïmasapë,kïrïmasapë,?,curdling (auto),,,convcosnoind-75,?,cuajado,convcosnoind,75,pape
convcosnoind-76,yab,"kïmïi yajrari ma nwarë,",kïmïi	yajrari	ma	nwarë,chili	***	RST	?,puro ají verde (auto),,,convcosnoind-76,n	?	part	?,puro ají verde,convcosnoind,76,anfo
convcosnoind-77,yab,chikene chikene nwarë sayu ke ejnë yemepëti wejsapë,chikene	chikene	nwa=rë	sayu	ke	ejnë	yeme-pëti-∅	wej-sapë,"***	***	thus=EMP	***	INS	1+2PRO	eat(fruits,_eggs,_soup)-PLUR-IPFV	COP-PFV",it was stepped on and we ate it with salt. (auto),,,convcosnoind-77,?	?	part	?	postp	pn	vt	vi,se pisaba y lo comiamos con sal,convcosnoind,77,anfo
convcosnoind-78,yab,iyawë takï sayu wejsapë,i-yawë	takï	sayu	wejsapë,3-LOC	CNFRM	***	?,at that time there was already (auto),,,convcosnoind-78,postp	part	?	?,en ese momento ya había sal,convcosnoind,78,anfo
convcosnoind-79,yab,kïrïmasapë tawara rë,kïrïmasapë	tawara	rë,?	too	EMP,also curdled (auto),,,convcosnoind-79,?	adv	part,cuajado también,convcosnoind,79,pape
convcosnoind-80,yab,"irëjpë sukutaka yeni ejnë ya, ¡ to!",irëjpë	sukutaka	yeni-∅	ejnë	ya	to,then	yucuta	drink-IPFV	1+2PRO	ERG	***,"then we drank yucutas, wham! (auto)",,,convcosnoind-80,adv	n	vt	pn	postp	?,despues tomabamos yucutas ¡zas!,convcosnoind,80,anfo
convcosnoind-81,yab,nwa chipëkë tëke ma ejnë këyatajpë tëke ma,nwa	chipëkë	tëke	ma	ejnë	këyata-jpë	tëke	ma,thus	***	?	RST	1+2PRO	grow-PST.ACNNMLZ	?	RST,that's what we grew up with (auto),,,convcosnoind-81,part	?	?	part	pn	n	?	part,por eso con eso nos criamos,convcosnoind,81,anfo
convcosnoind-82,yab,papa kampra pano ya yojtëjpë,papa	kampra	pano	ya	yojtë-jpë,father	big	FMR	ERG	fish_with_hook-PST,mi papá pescaba ### (auto),,,convcosnoind-82,n	n	part	postp	vt,mi papá pescaba ###,convcosnoind,82,anfo
convcosnoind-83,yab,tëwï narë ma,tëwï	narë	ma,3PRO	***	RST,that same (auto),,,convcosnoind-83,pn	?	part,ese mismo,convcosnoind,83,anfo
convcosnoind-84,yab,"tëwï ma takï, enirëno ma takï takërë ma, toto yoti ejnë yënëri",tëwï	ma	takï	enirë-no	ma	takï	t-akërë	ma	toto	y-oti-∅	ejnë	yënëri,3PRO	RST	CNFRM	now-NMLZ	RST	CNFRM	3-with	RST	non_Indian	LK-meat-PERT	1+2PRO	?,"that, as of now with him, we eat Creole food. (auto)",,,convcosnoind-84,pn	part	part	n	part	part	postp	part	n	n	pn	?,"eso, lo de ahora con el, comemos comida de criollo",convcosnoind,84,pape
convcosnoind-85,yab,enirëno ma takï yumpe toto yoti ejnë ya yënë mare,enirë-no	ma	takï	yumpe	toto	y-oti-∅	ejnë	ya	yënë-∅	mare,now-NMLZ	RST	CNFRM	fairly	non_Indian	LK-meat-PERT	1+2PRO	ERG	eat(meat)-IPFV	?,the food of the Creoles we eat now is quite a lot. (auto),,,convcosnoind-85,n	part	part	adv	n	n	pn	postp	vt	?,"lo de ahora es bastante, la comida de los criollos que comemos",convcosnoind,85,anfo
convcosnoind-86,yab,tëwï ma takï iyajtëpe,tëwï	ma	takï	iyajtëpe,3PRO	RST	CNFRM	?,that was before (auto),,,convcosnoind-86,pn	part	part	?,eso fue antes,convcosnoind,86,pape
convcosnoind-87,yab,tëwï narë ma pïrarë,tëwï	narë	ma	pïrarë,3PRO	***	RST	NEG.EXIST,"that's as far as it goes, no more. (auto)",,,convcosnoind-87,pn	?	part	part,"hasta ahí no más que llega, no hay más",convcosnoind,87,anfo
convcosnoind-88,yab,"tajtojpe neke ne takï, tajtojpe neke ne",tajtojpe	neke	ne	takï	tajtojpe	neke	ne,?	CNTR	INTS	CNFRM	?	CNTR	INTS,how to say that (auto),,,convcosnoind-88,?	part	part	part	?	part	part,como se dice eso,convcosnoind,88,pape
convcosnoind-89,yab,"ejnë yumu wejsapë pïrarë, nwa chipëkë takï",ejnë	yumu	wejsapë	pïrarë	nwa	chipëkë	takï,1+2PRO	***	?	NEG.EXIST	thus	***	CNFRM,"our parents were away, so (auto)",,,convcosnoind-89,pn	?	?	part	part	?	part,"nuestros padres no estaban, así",convcosnoind,89,pape
convcosnoind-90,yab,yojtënijpë,yojtënijpë,***,fished (auto),,,convcosnoind-90,?,pescaron,convcosnoind,90,pape
convcosnoind-91,yab,"nwa chipëkë, tëwï ma takï ejnë yënë wejsapë",nwa	chipëkë	tëwï	ma	takï	ejnë	yënë-∅	wej-sapë,thus	***	3PRO	RST	CNFRM	1+2PRO	eat(meat)-IPFV	COP-PFV,"thus, that we only ate (auto)",,,convcosnoind-91,part	?	pn	part	part	pn	vt	vi,"así, ese solamente comíamos",convcosnoind,91,pape
convcosnoind-93,yab,"irëjpë neke ne kamprake ne chawë, mëkï tajtojpe neke ne, ejnë...",irëjpë	neke	ne	kamprake	ne	chawë	mëkï	tajtojpe	neke	ne	ejnë,then	CNTR	INTS	?	INTS	LOC	3.ANIM.DIST	?	CNTR	INTS	1+2PRO,"later, when we were grown up, that, as they say, our... (auto)",,,convcosnoind-93,adv	part	part	?	part	postp	dem	?	part	part	pn,"después, cuando estuvimos grandes, aquel, como es que se dice, nuestro...",convcosnoind,93,anfo
convcosnoind-94,yab,"ejnë iyajtënijpë, ejnë këyamanijpë ya",ejnë	iyajtënijpë	ejnë	këyamanijpë	ya,1+2PRO	***	1+2PRO	***	?,"the one who took care of us, the one who raised us (auto)",,,convcosnoind-94,pn	?	pn	?	?,"el que nos cuidó, el que crió",convcosnoind,94,anfo
convcosnoind-95,yab,inche ijtëse wejsapë romana,inche	ij-të-se	wej-sapë	romana,?	3-go-PST	COP-PFV	***,went to look down (auto),,,convcosnoind-95,?	vi	vi	?,se fue a ver para abajo,convcosnoind,95,anfo
convcosnoind-96,yab,ati rë warai,ati	rë	warai,what	EMP	like,as some things (auto),,,convcosnoind-96,intj	part	postp,como unas cosas,convcosnoind,96,anfo
convcosnoind-97,yab,ejnë kampra ke chiyawë ejnë,ejnë	kampra	ke	chiyawë	ejnë,1+2PRO	big	INS	when	1+2PRO,when we were grown up (auto),,,convcosnoind-97,pn	n	postp	part	pn,cuando nosotros estabamos grandes,convcosnoind,97,anfo
convcosnoind-98,yab,ïmparë ne kampra ke chiyawë,ïmparë	ne	kampra	ke	chiyawë,***	INTS	big	INS	when,even when we were older (auto),,,convcosnoind-98,?	part	n	postp	part,ya cuando estabamos grandes,convcosnoind,98,anfo
convcosnoind-99,yab,tëwï narë ma taji tanijpë,tëwï	narë	ma	taji	tanijpë,3PRO	***	RST	FOC	***,that's all (auto),,,convcosnoind-99,pn	?	part	part	?,eso no más,convcosnoind,99,anfo
convcosnoind-100,yab,"tëwï takï tajne... tewenke mare, kwase iyajtëpe sënkaja rë, kwaraijyawë ne mokontomo seremajpë toto yoti tajtoj mare",tëwï	takï	ta-jne	t-ewenke	mare	kwase	iyajtëpe	sënka-ja	rë	kwaraijyawë	ne	mokontomo	seremajpë	toto	y-oti-∅	taj-toj	mare,3PRO	CNFRM	3-PL	3-ignorant	?	how	?	finish-NEG	EMP	***	INTS	2PL.PRO	?	?	LK-meat-PERT	say-CIRC.NMLZ	?,"those are the ones you don't know, since when did you eat Creole food? (auto)",,,convcosnoind-100,pn	part	pn	postp	?	part	?	vi	part	?	part	pn	?	?	n	n	?,"esos son los que no sabe, como antes no se acabó, desde cuando comieron ustedes la comida de criollos",convcosnoind,100,pape
convcosnoind-101,yab,tëwï takï enirëpëkano ma kamprake ejnë chawë,tëwï	takï	enirëpëkano	ma	kamprake	ejnë	chawë,3PRO	CNFRM	***	RST	?	1+2PRO	LOC,"that's been around for not so long, when we were older (auto)",,,convcosnoind-101,pn	part	?	part	?	pn	postp,"eso está desde hace no mucho, cuando eramos grandes",convcosnoind,101,pape
convcosnoind-102,yab,"ë'ë, kamprake ejnë chawë",ë'ë	kamprake	ejnë	chawë,yes	?	1+2PRO	LOC,when we were big (auto),,,convcosnoind-102,intj	?	pn	postp,cuando eramos grandes,convcosnoind,102,anfo
convcosnoind-104,yab,pïrarë,pïrarë,NEG.EXIST,there is no (auto),,,convcosnoind-104,part,no hay,convcosnoind,104,anfo
convcosnoind-105,yab,sukutaka ma,sukutaka	ma,yucuta	RST,only yucuta (auto),,,convcosnoind-105,n	part,solamente yucuta,convcosnoind,105,pape
convcosnoind-106,yab,"sere ma, mañuku warai",sere	ma	mañuku	warai,bitter_manioc	RST	***	like,"cassava only, and mañoco (auto)",,,convcosnoind-106,n	part	?	postp,"casabe solamente, y mañoco",convcosnoind,106,pape
convcosnoind-107,yab,tëwï ma takï ejnë inawë wejsapë,tëwï	ma	takï	ejnë	inawë	wejsapë,3PRO	RST	CNFRM	1+2PRO	have	?,that was what we had (auto),,,convcosnoind-107,pn	part	part	pn	postp	?,eso era lo que teníamos,convcosnoind,107,pape
convcosnoind-108,yab,ejnë këyatajpë ya,ejnë	këyata-jpë	ya,1+2PRO	grow-PST.ACNNMLZ	?,where we grew up (auto),,,convcosnoind-108,pn	n	?,donde crecimos,convcosnoind,108,pape
convcosnoind-109,yab,chiri ma takï,chiri	ma	takï,?	RST	CNFRM,eso only (auto),,,convcosnoind-109,?	part	part,eso solamente,convcosnoind,109,pape
convcosnoind-110,yab,"tëwï ma pïnika, warë tajto pïnika",tëwï	ma	pïnika	wa=rë	tajto	pïnika,3PRO	RST	?	thus=EMP	***	?,that's all we say (auto),,,convcosnoind-110,pn	part	?	part	?	?,eso no más decimos,convcosnoind,110,pape
